,time,Hs(m),Tm(s),Dm(deg),Tp(s),Dp(deg),SS(m),WL(m)
0,1979-01-01 00:00:00,,,,,,0.7219643742697579,-0.3830356257302421
1,2019-12-31 21:00:00,0.44571418,3.3428576,295.92856,4.0114293,295.92856,0.9388458985090256,0.7826558985090256
